Feature ID,BlankSub Mean 1000ppb_,BlankSub Mean 100ppb_,BlankSub Mean 10ppb_,BlankSub Mean 250ppb_,BlankSub Mean 500ppb_,BlankSub Mean D1S1_,BlankSub Mean D1S2_,BlankSub Mean D1S3_,BlankSub Mean D1S4_,BlankSub Mean D2S1_,BlankSub Mean D2S2_,BlankSub Mean D2S3_,BlankSub Mean D2S4_,BlankSub Mean D3S1_,BlankSub Mean D3S2_,BlankSub Mean D3S3_,BlankSub Mean D3S4_
489,476.724,497.3626,,787.8446,361.8523,,,,,,,,,,,,
490,12722.65,1586.5482,203.7574,4465.031,7700.9824,,,,,,,,,,,,
492,88.3023,,,,,,,,,,,,,,,,
493,302.696,,,,,,,,,,,,,,,,
495,,,,,,,,,,,,,,,,117.7104,
496,,,,,,,216.0844,,,,,,,,,,
497,9851.95,,,2382.0466,4778.4175,,204.8155,,,,,,,,,,
498,,,,,,,,290.4201,431.0076,,,,,,,,
499,,,,,,,,,,,,,,,,,
500,,,,,,83.9624,,144.4462,,,,,,,83.3422,,
502,,,,,,,,,,,,,,579.8054,,,
503,1270.5322,,,355.7184,562.4898,,,,,,,,,,,,
506,,,,,,,,,,,205.1967,,,,,,
507,,,,,,,,,,,,,,303.6336,,,
508,667.4867,,,,,,,,,,,,,,,,
509,,,,,,221.474,299.9551,246.3407,556.6496,,497.7415,431.9584,498.6918,367.049,,210.3648,243.6031
510,13951.1991,1260.474,,3572.8057,7282.0871,,,,,,,,,,,,
513,650.4321,60.2092,,206.197,338.8331,,,,,,,,,,,,
516,,,,,65.5515,,,,,,198.2762,,,,,191.8676,
517,,,,,,,,170.4953,,,134.619,,,157.2137,,,
518,,,,,,280.9995,,,,,252.8166,219.3688,,268.9044,,339.724,
519,,,,,,,,,,,160.6678,,,,,,
520,,,,,,,440.4815,,,,527.5151,,,,,,
521,,,,,,,,,,,,,,,,,
522,,,,,,,,1289.8875,1744.2585,,299.9235,146.6193,,239.3611,,,
523,921.41,,,,498.1073,,,,,,166.782,,,234.573,183.8849,329.867,
526,,,,,,,,,,,204.2498,,,,,,
529,,,,,,110.2964,,109.2049,,,,,,,119.009,199.3708,
531,2099.6357,178.1769,,522.583,1127.351,,,,,,,,,,,,
532,118.4686,,,,,,,,,,,,,,,,
535,15785.4843,2699.0803,,4586.1408,10086.9063,,,,,,,,,,,,
537,,,,,,,,,,,626.2525,,164.7507,458.8594,,,
538,,,,,,375.0179,332.922,467.7947,,,271.5689,158.5307,,826.4265,561.0685,506.0548,
539,,,,,,,316.8418,,,,,,,291.7274,391.3354,312.9009,
540,4952.314,481.7127,,,,,,,,179.1327,,269.1052,,,247.3587,,
541,,,,,,330.1351,353.7877,311.0536,,118.8395,195.752,,,,270.2455,408.2174,
542,,,359.511,,,,,,,,,,,,,,
543,92196.78,10841.406,1344.7006,31860.672,51299.438,,,,,,,,,,,,
545,,,,,,232.0604,,,,,,,,,,,
546,,482.098,533.9348,,,377.6106,360.0023,313.0827,,372.248,474.9007,509.4833,165.4931,389.9995,288.4965,360.7076,
547,,,,,,,509.56,,,,,,,,,,
548,,,,,,,,,,,,,,1939.3567,,,
550,,,,,,,202.1271,,,,,,,211.0313,199.3928,244.9561,
554,,,,,,,311.0229,,,,290.6512,,,,,189.0146,
555,,,,,,,,174.1189,,,291.5473,206.0465,,,173.416,,
557,,,,,,87.286,,,,,,,,,,,
559,,,,,,,,,,,,,,,,,
562,,,,,,273.2904,280.0523,265.0325,,,,,,,,283.0067,
564,,,,,,,,,,,190.3189,,,416.3551,,552.4001,
565,,,,,,,243.8837,,,,,,,,,,
568,,,,,,,,,,,,,,752.0092,,,
572,,,,,,,,,,,,,,106.2012,,143.959,
573,,,,,,,,,,,289.9461,,,,,273.1374,
576,,,,,,,,1096.5178,,,,,,1874.8446,1538.7007,1732.769,
577,,,,,,533.2012,477.3995,507.8542,,,353.6771,,,439.7055,376.2537,,
578,884.5186,,,,444.0428,,,265.6445,,,,,,,,211.7277,
579,,,,,,,,,,,,,,,,,
582,,,,,,294.9176,292.8002,282.2869,,128.2612,288.9358,320.6624,,270.3588,294.3264,424.3907,
584,,,,,,545.5228,555.6024,597.5095,,,,,,306.8589,,,
586,,,,,369.683,,,,,,,,,,,,
588,9915.7127,954.0119,,3086.3634,5332.123,,,,,,,,,,,,
592,,,,,,,,91.565,,,97.3779,,,,,,
595,,541.1133,1193.5231,732.5124,477.6845,16459.5587,17007.5711,17798.7951,18122.1214,16619.1107,21048.6724,19447.4004,7502.0393,17528.2231,16462.2824,18900.7111,6362.3494
600,244.7276,354.1408,,,231.2094,,,,,,,,,,,,
601,,,,,,146.6489,,192.498,,,244.6582,208.017,,,,,
602,,,,,,149.7663,317.02,166.2252,,,,,,,,,
603,,,,,,,,,,,,,,,,,
604,452.7055,,,,270.0903,,,,,,,,,,,,
606,,,,,,,,,,,,,,,,155.6414,
607,,,,,,518.813,653.8659,771.3528,,212.4486,354.0364,353.4969,,639.0453,400.135,890.1059,
608,,,,,,,682.4698,,743.8866,,,,,,,,
609,,,,,,,241.604,,,243.8973,,,,309.2812,368.0944,495.2489,
610,,,,,,259.451,234.7134,261.0596,,,200.3588,,,,,320.8386,
611,,,,,,330.4578,419.3934,445.6176,259.7074,215.0725,311.4311,,144.3027,151.9289,,224.469,
613,,,,,,738.2836,741.7834,548.0046,,,,,,,,,
614,,,,,,,,,,,,,,108.3177,100.6777,,
616,,,,,,,,,,,,,,,,,
617,,,,,,,,,,,,,,1043.7762,898.9256,861.8775,
618,,,,,,7850.7117,9952.6884,9384.356,,3070.6571,6799.8768,4139.9001,,6789.077,7206.0017,8074.6652,
619,,,,,,,214.4609,,,,,,,,,,
620,,,,,,,331.0022,,,,462.6094,256.1167,,244.8848,353.4038,324.3383,
622,,,,,,,,,,,,37.254,,,,97.6919,
623,,,,,,,,,,,,,,,,330.8282,
624,,,,,,1763.9275,1776.6416,6518.1098,1186.9798,,,,,,,,
626,,1982.9111,1743.8039,,,,,,,,,,,,,,
627,,,,,,,218.788,233.1858,202.4576,,283.5384,,,222.0836,,211.2894,
628,,,,,,,,,,,,,,669.2839,,,
629,,,,,,,,,,,,,,88.0243,,,
630,,,,,,,,,,88.8632,,129.1414,,,,,
631,,,,,,,502.3158,340.9723,,,,,,138.0544,,225.5741,
634,,,,,,153.8508,220.6907,224.8632,,,,,,,,,
637,,,,,,,,,,,,,,320.7579,307.5118,272.1164,
638,,,,,,,,,,,,,,,386.8232,340.892,
639,,,,,,2464.2532,3141.2642,2934.5404,,,2175.5468,1258.3533,,2089.5357,2179.7771,2491.7044,
