Feature ID,BlankSub Mean 45_T,BlankSub Mean 46_T,BlankSub Mean 47_T,BlankSub Mean 48_T,BlankSub Mean 49_T,BlankSub Mean 50_T,BlankSub Mean 51_T,BlankSub Mean 52_T,BlankSub Mean 53_T,BlankSub Mean 54_T,BlankSub Mean 55_T,BlankSub Mean 56_T,BlankSub Mean 57_T,BlankSub Mean 58_T,BlankSub Mean 59_T,BlankSub Mean 60_T
1043,409224,687661.5,373824.6667,291961.3333,416739.6667,449368.6667,403042,261128.6667,349938.3333,250532.6667,287720,182855,413484.3333,313462.6667,308956.3333,294276
1380,186726.6667,,,66405.3333,287366.6667,363426.3333,324876,307284.3333,335612,296936,349094.3333,318486.3333,193690.3333,397468.6667,259956.6667,300773
1155,225009,,202602,58517.5,296383.3333,350059.3333,368800.3333,247660,403527.6667,326766,345372.6667,295820,400853.6667,374934.3333,299490,317232
767,349265.8333,,541395.1667,,,,284989.1667,,,,,,,,,
130,399195.8333,497630.1667,411245.8333,374225.8333,253677.5,273650.5,308889.1667,191814.8333,237511.5,187675.8333,220095.1667,165524.1667,260881.8333,233996.1667,236929.1667,153429.5
1284,113581,,131812.5,,348428.3333,240379,388895,247630.6667,332325.3333,266251.3333,288237.6667,302668,420003.3333,303784.6667,338620.6667,392266
4820,,,,,25693,17007,,26039,,,,,,,,74523
3474,163691.6667,,116707.3333,45908.3333,226391.3333,285899,346495.3333,218984.6667,201487.6667,174209.6667,192321.6667,147243.3333,193705.6667,186911.3333,214533.3333,140198
937,,,,,,,,,58239,,,,987877,,,
1330,352133.6667,,279897.6667,172088.3333,388796.6667,432737.3333,504780,343798.6667,387373,361119.6667,374453,295588,390148.3333,317149.6667,375261.3333,292305.3333
1199,,,227981.5,,,410141.6667,465102.6667,,360964.5,336781.6667,367679,,237469,,,
4314,62419.6667,,36393.6667,29191,76372.3333,89904,100647,76363,66612.3333,58510.6667,63032,54320,65161.6667,69558,74038,56171.3333
8,9499795.833,,6331910.5,4115126.5,13255861.5,16589194.83,17589194.83,10033747.17,13655861.5,12066475.5,13522528.17,12889194.83,13132692.17,15222528.17,14322528.17,11289194.83
3309,,,,,36576,91302.3333,100011.3333,70197,30374.6667,26585.3333,,,,,,
1038,656550.5,,,,,,,,,,,,,,,
4229,,,39417,,82390,,32357.5,54705.3333,,,31600,,,,,16273.3333
3177,826180,,783318,528140.3333,1372189.333,1455774.333,1232493.333,1010127.333,1037749,983349,1183761,1321458.667,1123202,1182773.667,1141302.333,1492006.333
3328,826180,,,484037,1372189.333,1455774.333,1232493.333,947751.3333,1037539,982503,1183026.333,1322544.667,1123868,1185108.667,1140454.667,1489601.333
4438,,,,,,,,,33896.6667,43646.6667,52795.3333,95892,62455.3333,57545,84094,106521.6667
4334,818674.6667,,,482922,1363805.333,1455774.333,1220815,885385.6667,33946.3333,41506.6667,51069.6667,95694.6667,62613,49881.3333,81372.6667,98636
1295,290758.6667,353516.6667,373694.6667,346195,358753.6667,385420.3333,418724.6667,381554.3333,343251,289071.3333,377161.3333,379418,344274.3333,290855,358478.6667,360675
129,155787.3333,236228,293984.3333,463777,231352.3333,,199196.6667,,,47394.6667,,,,,,
294,,,,378920.5,,,,,,,,,,,,
2003,,,,,,,,,,52915,,19010.5,234982,,56371.5,
3551,180152.5,,118474.5,,177304.6667,220114.3333,264377,164133,219077,177952,188093.3333,149380.6667,188530.3333,206915.3333,164050.6667,164674.3333
4707,103283.6667,,,,137520.3333,191013.6667,194237.3333,152029,92226.6667,75026,84717.6667,79865.3333,85957.6667,103314.3333,90248.6667,82306
2712,187196,64559.3333,52631.6667,25034,72235,119168.6667,263203,98371,33124.3333,27735,50646.6667,43378.6667,,34449.3333,54731.3333,31389.6667
2857,,,,28161.6667,,,,56423,,,10959.6667,47538.6667,,,56208,
3690,103283.6667,,,,137520.3333,191013.6667,194237.3333,152029,92226.6667,75026,84750.3333,79865.3333,85957.6667,103314.3333,90248.6667,82515
4239,70914.5,,,,21257.3333,24913,25865,18248.6667,29341,21477,27183.3333,,32848,22229.3333,22148,
908,53233.6667,,39104,23699.6667,172607,1292611.333,289809.3333,812395.3333,57652,92755.6667,857726.6667,,,84801.6667,769093.3333,112839.6667
4654,,,,55986.6667,,72167,,,,,,,,,,
1251,,,,,562354.6667,262238,411756.6667,263518,366195,210469,295404.3333,136728.3333,370090.5,259877.6667,176849.6667,369060
