Feature ID,BlankSub Mean 1000ppb_,BlankSub Mean 100ppb_,BlankSub Mean 10ppb_,BlankSub Mean 250ppb_,BlankSub Mean 500ppb_,BlankSub Mean D1S1_,BlankSub Mean D1S2_,BlankSub Mean D1S3_,BlankSub Mean D1S4_,BlankSub Mean D2S1_,BlankSub Mean D2S2_,BlankSub Mean D2S3_,BlankSub Mean D2S4_,BlankSub Mean D3S1_,BlankSub Mean D3S2_,BlankSub Mean D3S3_,BlankSub Mean D3S4_,BlankSub Mean Pooled_
191,,,,,,,,,,,,,,,,,,1582.0679
192,391.2835,,,,440.2124,,,445.4453,,465.4348,,,453.7456,,473.1674,456.5545,,
193,,,,,,,247.9444,,255.8768,,186.5941,237.0205,365.2375,,220.6884,218.9128,358.1104,283.9283
194,,,,,,1017.5712,1107.0315,1096.0044,,1039.1249,1244.9929,1107.569,,,,1205.5779,,
195,,,,,,86.5879,,86.3087,,,145.369,,162.5729,176.3466,,145.0739,90.4831,477.0721
196,724.568,,,,426.4034,,,,,,,,,,,,,888.5844
197,,,,,,2634.4747,3742.932,1723.9245,,3168.4643,2918.2556,913.6359,,,135.6563,,,1004.9813
198,,,,,,161.9624,,,,481.0389,538.3899,,,,,,,
199,,,,,,,144.3769,180.8988,,189.061,315.8452,305.8515,,,,634.2191,,
200,19737.432,4312.906,527.7368,9059.901,13878.972,,,,,,,,,,,,,18153.0838
201,,,,,,,,,,,,,,,,392.7924,,
202,,,,,,528.9602,450.1629,558.3686,526.2773,5009.9142,6110.9122,14541.185,9486.271,4350.2799,3156.8692,1913.1826,2662.2326,3243.4496
203,563.7004,,1785.4004,,1325.2876,2274.7296,2293.7547,2163.3794,2420.8625,2272.8898,1817.8902,1973.777,3221.7716,1936.9677,2097.5882,2169.7452,3280.4464,2555.469
205,,,138.8177,,,,197.177,165.7778,194.1485,,153.507,150.909,265.4881,,164.3873,182.1309,256.6228,
206,,,,,,80.8003,130.9029,104.9547,34.1802,131.786,125.3325,120.8212,,129.9957,,98.7809,,
207,1590.3582,,,,856.6946,,,,,,,,,,,,,1766.8534
208,,,,,,276.3179,436.6212,211.4868,,364.7655,322.8633,102.9372,,,,,,111.6244
209,,,,,,,,,,,,231.1275,,,,562.7104,,
212,361.8176,,252.2231,212.0161,164.4734,,,,,,,,,,95.6311,,,
213,223.1181,233.118,252.0554,320.7627,323.6092,499.7051,377.0573,464.8188,337.0893,357.3009,361.0718,353.0506,298.6558,454.9794,338.1107,398.7809,339.6078,359.7437
5049,,,272.7562,,,1236.1541,1412.9206,1655.3692,517.0087,1241.8373,1819.8978,1714.4245,386.5952,1696.6447,1522.9718,1806.0101,380.9734,882.5513
216,,,,,,,,,,138.6027,,,,,,,,
217,3394.27,,,1329.5945,1929.1621,,,,,,,,,,,,,4790.1163
220,,,,,,595.6061,691.1471,488.7636,,,137.674,,,204.5493,,203.4803,,157.9387
221,,,,,,,,,,,,,,,,121.7768,,
5050,,,,,,180.0216,148.9125,206.5573,,,223.2142,211.8471,,220.2988,192.3658,219.0595,33.9247,108.5863
5051,,,,,,3443.9275,7953.4711,5920.0315,,3052.8305,6361.8881,4281.6247,,4279.9379,4198.4538,4557.2071,,3178.6735
223,,,,,,,,477.4158,,,,,,170.7333,,,,
224,,,,,,34845.2897,93770.29,61920.9033,355.591,42684.999,69515.119,49861.6177,150.9525,48098.892,47725.6783,54189.5217,,30118.7252
226,11418.892,1061.9457,,2893.2492,5231.2354,,,,,,,,,,,,,12368.4935
5052,,,,,,286.0961,241.4852,271.2462,,196.6372,323.1726,301.2442,,251.6171,238.1434,,,141.4587
227,4436.6655,,,1678.0676,2310.5413,,,,,,,,,,,,,5896.9915
228,,,,,,392.6233,463.247,518.3824,,,553.8623,415.7081,,559.0579,438.8474,622.6429,,261.9807
5053,,,,,175.4547,,,,,,,,,,,,,323.212
230,,,,,,,,,,,,,,,,98.4377,,133.3084
231,,,,,,,,132.7295,,,,,,,,,,
232,,,,,,,184.6768,187.1787,,,,,,,,,,
234,,,,145.813,,,139.1977,,,,,,,,,,,484.3397
236,279.3112,544.6627,640.0334,,417.4275,,,,,392.0108,,,,,234.0368,,,371.7091
237,,,250.3856,,,,,,,,,,,,,,,
238,,,,,,,,838.8224,425.7378,174.7255,,,,252.1394,,358.3926,151.379,294.0733
239,,,,,,,,,,,,,,,95.2526,,,
240,,,,,,745.6879,693.4584,939.0319,449.7507,279.5679,424.8307,321.7241,,737.664,821.2879,903.962,102.1959,420.9054
242,,,95.3176,,,,,129.5428,103.3838,,,,,,,,,
5054,,187.8701,225.8374,,213.0563,201.826,,,,,,220.6988,,,,,158.9033,
243,,,,,,,,,385.3039,377.3636,382.116,,,338.7303,,,,
5055,,,,,,2427.5263,528.5832,1110.486,,,,,,,,182.8691,,
5056,,,,,,266.9852,142.9284,444.3634,,,,141.6785,,,,,,
244,,,,,,12805.9177,4943.5441,6907.618,,526.403,620.4995,498.783,,,291.948,1932.1346,,1059.9519
245,,,,,,538.8458,550.6129,654.4435,,849.0457,1335.3096,1049.588,,877.6217,835.6959,1226.7682,,616.4166
246,,,,,,,,268.5013,,121.7492,185.617,342.603,,,,,,
247,26266.582,3189.9888,411.3529,9189.1196,14511.205,,,,,,,,,,,,,32565.1808
249,317.4931,,,125.4224,134.0694,,,,,,,,,,,,,469.7362
5057,,,,,,,,,,,,,,,,,,409.3711
250,,,,,,372.0758,251.4916,380.562,,,151.3789,363.1504,,,,,,
5058,,,,,,,,,,,198.7582,156.5541,,,,,,
252,,,,,117.9946,,,,,,,,,,,,,306.2361
253,,,,,,193.3173,194.7963,281.6855,,,156.2343,152.8968,,,,,,
254,,,,,,908.711,347.7222,412.4508,,,,,,,,,,
255,,,,,,112.3034,145.5803,171.3623,,,93.2086,,,,,,,117.444
256,,,,,,188.6107,228.9673,238.5743,,101.5089,242.951,196.4006,,236.7325,170.7208,227.5357,,157.1023
257,2954.6345,,,,1535.5404,,,,,,,,,,,,,4382.3929
258,,,,,,,,275.5672,,,,,,166.3798,,,,
259,,,,,,134.547,,230.0134,,,,,,,,,,
260,,,,,,160.418,220.1558,170.3184,,,,,,,,,,
262,,,,,,,,272.9656,,,447.9436,385.758,,,,,,158.1653
265,,,,,,136.898,,125.331,,,,,,140.1793,,153.3041,,
